指标名称,指标编码,所属中心,适用岗位,指标类型,权重,目标值,单位,计算公式,数据来源,状态
部门营收达成率,YX_ZJ_001,YX,YX_ZJ,经营绩效,30,100,%,实际营收/目标营收×100%,速达ERP,启用
货款回款达成率,YX_ZJ_002,YX,YX_ZJ,经营绩效,30,95,%,实际回款/应收款×100%,速达ERP,启用
部门毛利达成率,YX_ZJ_003,YX,YX_ZJ,经营绩效,20,90,%,实际毛利/目标毛利×100%,速达ERP,启用
品牌推广效果,YX_ZJ_004,YX,YX_ZJ,经营绩效,20,85,分,综合评分,企微数据,启用
团队目标拆解,YX_ZJ_005,YX,YX_ZJ,管理绩效,30,100,%,目标拆解完成率,系统记录,启用
流程规范执行率,YX_ZJ_006,YX,YX_ZJ,管理绩效,25,95,%,流程执行合规率,系统记录,启用
客户数据真实性,YX_ZJ_007,YX,YX_ZJ,管理绩效,25,100,%,无虚假数据,抽查,启用
部门协同满意度,YX_ZJ_008,YX,YX_ZJ,管理绩效,20,85,%,满意度评分,问卷,启用
品牌曝光量,YX_SC_001,YX,YX_SC,经营绩效,25,100000,次,实际曝光量,数据后台,启用
粉丝增长率,YX_SC_002,YX,YX_SC,经营绩效,20,5,%,实际增长率,数据后台,启用
活动参与人数,YX_SC_003,YX,YX_SC,经营绩效,20,500,人,实际参与人数,活动统计,启用
促销业绩贡献,YX_SC_004,YX,YX_SC,经营绩效,15,20,%,销量增长率,销售数据,启用
企业文化产出,YX_SC_005,YX,YX_SC,经营绩效,10,4,篇,提交数量,提交记录,启用
员工活动效果,YX_SC_006,YX,YX_SC,经营绩效,10,85,%,满意度,问卷,启用
个人销售额,YX_XS_001,YX,YX_XS,经营绩效,30,1000000,元,实际销售额,销售统计,启用
回款率,YX_XS_002,YX,YX_XS,经营绩效,25,95,%,实际回款率,财务数据,启用
新客户开发,YX_XS_003,YX,YX_XS,经营绩效,20,3,个,开发数量,客户统计,启用
客户满意度,YX_XS_004,YX,YX_XS,经营绩效,15,90,%,满意度评分,问卷,启用
销售计划完成率,YX_XS_005,YX,YX_XS,经营绩效,10,100,%,计划完成率,系统记录,启用
订单准时交付率,CP_ZJ_001,CP,CP_ZJ,经营绩效,20,98,%,准时订单/总订单,速达ERP,启用
研发项目合格率,CP_ZJ_002,CP,CP_ZJ,经营绩效,15,100,%,合格项目/总项目,项目系统,启用
生产成本控制,CP_ZJ_003,CP,CP_ZJ,经营绩效,15,100,%,实际成本/预算成本,速达ERP,启用
成品出厂合格率,CP_ZJ_004,CP,CP_ZJ,经营绩效,25,99,%,合格成品/总成品,质量系统,启用
客户质量投诉,CP_ZJ_005,CP,CP_ZJ,经营绩效,25,0,次,投诉次数,客诉记录,启用
项目进度管控,CP_ZJ_006,CP,CP_ZJ,管理绩效,35,100,%,按时完成率,项目系统,启用
团队流失率,CP_ZJ_007,CP,CP_ZJ,管理绩效,25,8,%,流失人数/总人数,企微HR,启用
工艺执行率,CP_ZJ_008,CP,CP_ZJ,管理绩效,25,98,%,工艺执行合规率,质量记录,启用
安全保密合规,CP_ZJ_009,CP,CP_ZJ,管理绩效,15,0,次,事故次数,巡查记录,启用
项目按时完成率,CP_YF_001,CP,CP_YF,经营绩效,30,100,%,按时完成率,项目计划,启用
设计质量,CP_YF_002,CP,CP_YF,经营绩效,25,2,次,变更次数,设计评审,启用
工艺文件完善率,CP_YF_003,CP,CP_YF,经营绩效,20,100,%,文件完善率,文件检查,启用
测试通过率,CP_YF_004,CP,CP_YF,经营绩效,15,100,%,测试通过率,测试报告,启用
技术问题解决及时率,CP_YF_005,CP,CP_YF,经营绩效,10,100,%,24h内解决率,问题记录,启用
生产按时完成率,CP_SC_001,CP,CP_SC,经营绩效,25,98,%,按时完成率,生产计划,启用
产量达成率,CP_SC_002,CP,CP_SC,经营绩效,20,100,%,实际产量/目标产量,产量统计,启用
成品合格率,CP_SC_003,CP,CP_SC,经营绩效,25,99,%,合格成品/总成品,质量检验,启用
库存准确率,CP_SC_004,CP,CP_SC,经营绩效,15,99.5,%,账实一致率,盘点报告,启用
生产安全事故率,CP_SC_005,CP,CP_SC,经营绩效,15,0,次,事故次数,安全记录,启用
质量管控得分,YY_ZJ_001,YY,YY_ZJ,经营绩效,40,95,分,质量考核得分,质量系统,启用
费用成本控制,YY_ZJ_002,YY,YY_ZJ,经营绩效,30,100,%,实际费用/预算费用,速达ERP,启用
招聘流失率达标,YY_ZJ_003,YY,YY_ZJ,经营绩效,20,90,%,招聘完成率,企微HR,启用
业务支撑满意度,YY_ZJ_004,YY,YY_ZJ,经营绩效,10,85,%,满意度评分,问卷,启用
制度执行率,YY_ZJ_005,YY,YY_ZJ,管理绩效,30,95,%,制度执行合规率,巡查记录,启用
模块考核得分,YY_ZJ_006,YY,YY_ZJ,管理绩效,30,85,分,考核得分,考核表,启用
业务部门支撑满意度,YY_ZJ_007,YY,YY_ZJ,管理绩效,25,85,%,满意度评分,问卷,启用
成本与风险管控,YY_ZJ_008,YY,YY_ZJ,管理绩效,15,0,次,风险事件次数,记录,启用
招聘完成率,YY_RS_001,YY,YY_RS,经营绩效,25,90,%,招聘完成率,招聘计划,启用
考勤准确率,YY_RS_002,YY,YY_RS,经营绩效,20,100,%,准确率,考勤系统,启用
薪酬发放及时率,YY_RS_003,YY,YY_RS,经营绩效,15,100,%,及时率,发放记录,启用
报销及时率,YY_RS_004,YY,YY_RS,经营绩效,15,100,%,3天内完成率,报销记录,启用
行政服务满意度,YY_RS_005,YY,YY_RS,经营绩效,15,85,%,满意度,问卷,启用
账务准确率,YY_RS_006,YY,YY_RS,经营绩效,10,100,%,准确率,财务核对,启用
账务处理及时率,YY_KJ_001,YY,YY_KJ,经营绩效,25,100,%,及时率,财务记录,启用
账务准确率,YY_KJ_002,YY,YY_KJ,经营绩效,25,100,%,准确率,审计核对,启用
报表及时率,YY_KJ_003,YY,YY_KJ,经营绩效,20,100,%,及时率,报表记录,启用
税务申报及时率,YY_KJ_004,YY,YY_KJ,经营绩效,15,100,%,及时率,申报记录,启用
预算执行偏差率,YY_KJ_005,YY,YY_KJ,经营绩效,15,5,%,偏差率,预算分析,启用
物料及时到货率,YY_CG_001,YY,YY_CG,经营绩效,30,98,%,及时到货率,采购记录,启用
采购成本控制,YY_CG_002,YY,YY_CG,经营绩效,25,100,%,预算内完成率,采购对比,启用
供应商质量合格率,YY_CG_003,YY,YY_CG,经营绩效,25,99,%,合格率,质量检验,启用
供应商绩效评估完成率,YY_CG_004,YY,YY_CG,经营绩效,10,100,%,完成率,评估记录,启用
采购订单完成率,YY_CG_005,YY,YY_CG,经营绩效,10,100,%,完成率,订单统计,启用
来料合格率,YY_ZL_001,YY,YY_ZL,经营绩效,20,99,%,合格率,来料检验,启用
成品出厂合格率,YY_ZL_002,YY,YY_ZL,经营绩效,30,99,%,合格率,成品检验,启用
客户质量投诉,YY_ZL_003,YY,YY_ZL,经营绩效,25,0,次,投诉次数,客诉记录,启用
质量整改完成率,YY_ZL_004,YY,YY_ZL,经营绩效,15,100,%,完成率,整改记录,启用
质量报表及时率,YY_ZL_005,YY,YY_ZL,经营绩效,10,100,%,及时率,报表记录,启用
检验及时率,YY_ZJJC_001,YY,YY_ZJJC,经营绩效,25,100,%,及时率,检验记录,启用
检验准确率,YY_ZJJC_002,YY,YY_ZJJC,经营绩效,30,99.5,%,准确率,复检记录,启用
漏检率,YY_ZJJC_003,YY,YY_ZJJC,经营绩效,25,0.1,%,漏检率,质量事故,启用
巡检计划完成率,YY_ZJJC_004,YY,YY_ZJJC,经营绩效,10,100,%,完成率,巡检记录,启用
检验记录完整率,YY_ZJJC_005,YY,YY_ZJJC,经营绩效,10,100,%,完整率,记录检查,启用